trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
138,False,"{'a': 0.01, 'e': 0.25157855305975646}",25,0,27.063579413779294,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
139,False,"{'a': 0.01, 'e': 0.24907530463166816}",25,0,25.760997589456206,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
140,False,"{'a': 0.01, 'e': 0.24659696394160643}",20,2,27.72371641846207,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.2441432831534371}",25,11,12.000526870156627,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.24171401689703645}",25,5,-53.57134606740823,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
143,False,"{'a': 0.01, 'e': 0.23930892224375455}",30,22,1.9346297954006009,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.23692775868212176}",30,16,25.28814447304311,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.23457028809379765}",25,5,-7.348075811352932,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.23223627472975883}",30,18,11.06173923224858,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.22992548518672384}",25,15,7.142511413219906,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.22763768838381274}",25,0,13.160717678874947,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
149,False,"{'a': 0.01, 'e': 0.22537265553943872}",20,1,20.336650682969942,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.22313016014842982}",20,0,-14.41166189078409,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
151,False,"{'a': 0.01, 'e': 0.2209099779593782}",30,19,11.511009984483024,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.21871188695221475}",25,8,14.3826310935024,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.21653566731600707}",25,13,16.50490489950587,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.21438110142697794}",25,0,20.806866949267743,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
155,False,"{'a': 0.01, 'e': 0.21224797382674304}",20,0,-50.06244266591531,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
156,False,"{'a': 0.01, 'e': 0.21013607120076472}",25,10,-23.60079310088433,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.20804518235702046}",20,4,-15.443325181837022,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
158,False,"{'a': 0.01, 'e': 0.20597509820488344}",25,14,3.8224737854390813,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.01, 'e': 0.20392561173421342}",30,21,12.397260807660766,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.01, 'e': 0.20189651799465538}",20,0,18.482752846245283,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
161,False,"{'a': 0.01, 'e': 0.1998876140751445}",25,1,-0.3357016290504884,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.01, 'e': 0.19789869908361465}",25,10,-16.424248186323293,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
163,False,"{'a': 0.01, 'e': 0.19592957412690934}",20,0,20.118339632030047,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
164,False,"{'a': 0.01, 'e': 0.19398004229089189}",25,0,-15.886562247638366,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
165,False,"{'a': 0.01, 'e': 0.19204990862075408}",20,1,6.357616492144916,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
166,False,"{'a': 0.01, 'e': 0.1901389801015205}",30,0,15.5068846109614,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
167,False,"{'a': 0.01, 'e': 0.1882470656387468}",25,11,-27.01568980444219,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
168,False,"{'a': 0.01, 'e': 0.18637397603940997}",25,12,13.773732451467756,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.01, 'e': 0.18451952399298926}",20,0,16.723333394138695,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.01, 'e': 0.18268352405273466}",25,8,-29.280340113345268,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
171,False,"{'a': 0.01, 'e': 0.1808657926171221}",25,0,-18.958707419227398,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
172,False,"{'a': 0.01, 'e': 0.17906614791149322}",30,0,31.118306301390348,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
173,False,"{'a': 0.01, 'e': 0.17728440996987782}",25,0,-21.171183253082347,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
174,False,"{'a': 0.01, 'e': 0.17552040061699686}",20,6,-31.844638838132305,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
175,False,"{'a': 0.01, 'e': 0.17377394345044514}",30,20,21.37696309588469,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.01, 'e': 0.17204486382305054}",20,10,5.358521290215461,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.01, 'e': 0.17033298882540943}",20,12,14.07785696236786,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.01, 'e': 0.1686381472685955}",20,0,12.741049115507508,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
179,False,"{'a': 0.01, 'e': 0.1669601696670407}",30,13,-36.37005065493872,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
180,False,"{'a': 0.01, 'e': 0.16529888822158653}",20,0,15.647519495390979,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
181,False,"{'a': 0.01, 'e': 0.16365413680270405}",25,4,4.445422093202824,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 0}",1
182,False,"{'a': 0.01, 'e': 0.16202575093388075}",20,16,9.200206953644763,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
